champion,role
Aatrox,JUNGLE
Akali,TOP
Ambessa,JUNGLE
Ambessa,MID
Anivia,SUPPORT
Aurelion Sol,ADC
Cassiopeia,TOP
Cho'Gath,MID
Fiddlesticks,SUPPORT
Gragas,JUNGLE
Gragas,MID
Gwen,JUNGLE
Heimerdinger,TOP
Irelia,MID
Jax,JUNGLE
Karthus,ADC
Kennen,MID
LeBlanc,SUPPORT
Lux,ADC
Malphite,MID
Mel,ADC
Mel,SUPPORT
Morgana,MID
Naafiri,MID
Naafiri,TOP
Nidalee,SUPPORT
Olaf,TOP
Pantheon,MID
Pantheon,TOP
Quinn,MID
Ryze,TOP
Sejuani,TOP
Senna,SUPPORT
Shaco,SUPPORT
Singed,MID
Sion,MID
Smolder,MID
Swain,SUPPORT
Swain,TOP
Sylas,SUPPORT
Sylas,TOP
Tahm Kench,TOP
Taliyah,JUNGLE
Trundle,TOP
Udyr,TOP
Varus,MID
Varus,TOP
Vayne,TOP
Vel'Koz,ADC
Viego,MID
Wukong,TOP
Xerath,SUPPORT
Yasuo,TOP
Zac,TOP
Zed,TOP
Zilean,MID
Zoe,SUPPORT
